"x_blur","y_blur","fitness"
0,0,0.937008
1,0,0.952756
2,0,0.929134
3,0,0.948819
4,0,0.952756
5,0,0.948819
6,0,0.944882
7,0,0.96063
8,0,0.925197
9,0,0.944882
10,0,0.956693
11,0,0.96063
12,0,0.944882
13,0,0.956693
14,0,0.940945
15,0,0.948819
16,0,0.956693
17,0,0.948819
18,0,0.948819
19,0,0.940945
20,0,0.944882
21,0,0.948819
22,0,0.956693
23,0,0.929134
24,0,0.940945
25,0,0.944882
26,0,0.968504
27,0,0.956693
28,0,0.944882
29,0,0.940945
30,0,0.952756
31,0,0.96063
32,0,0.964567
33,0,0.944882
34,0,0.917323
35,0,0.925197
36,0,0.944882
37,0,0.952756
38,0,0.940945
39,0,0.952756
40,0,0.968504
41,0,0.929134
42,0,0.96063
43,0,0.944882
44,0,0.956693
45,0,0.940945
46,0,0.929134
47,0,0.948819
48,0,0.940945
49,0,0.952756
50,0,0.929134
0,1,0.948819
1,1,0.948819
2,1,0.92126
3,1,0.952756
4,1,0.937008
5,1,0.944882
6,1,0.956693
7,1,0.952756
8,1,0.937008
9,1,0.925197
10,1,0.952756
11,1,0.937008
12,1,0.968504
13,1,0.944882
14,1,0.929134
15,1,0.952756
16,1,0.948819
17,1,0.940945
18,1,0.940945
19,1,0.940945
20,1,0.952756
21,1,0.940945
22,1,0.944882
23,1,0.944882
24,1,0.944882
25,1,0.929134
26,1,0.937008
27,1,0.944882
28,1,0.944882
29,1,0.96063
30,1,0.948819
31,1,0.944882
32,1,0.952756
33,1,0.956693
34,1,0.976378
35,1,0.956693
36,1,0.948819
37,1,0.96063
38,1,0.952756
39,1,0.952756
40,1,0.952756
41,1,0.933071
42,1,0.940945
43,1,0.948819
44,1,0.944882
45,1,0.944882
46,1,0.956693
47,1,0.940945
48,1,0.940945
49,1,0.937008
50,1,0.929134
0,2,0.944882
1,2,0.96063
2,2,0.937008
3,2,0.948819
4,2,0.944882
5,2,0.956693
6,2,0.948819
7,2,0.948819
8,2,0.944882
9,2,0.948819
10,2,0.952756
11,2,0.917323
12,2,0.948819
13,2,0.933071
14,2,0.937008
15,2,0.952756
16,2,0.96063
17,2,0.952756
18,2,0.948819
19,2,0.948819
20,2,0.92126
21,2,0.948819
22,2,0.956693
23,2,0.96063
24,2,0.956693
25,2,0.940945
26,2,0.929134
27,2,0.948819
28,2,0.96063
29,2,0.948819
30,2,0.948819
31,2,0.933071
32,2,0.96063
33,2,0.940945
34,2,0.944882
35,2,0.956693
36,2,0.968504
37,2,0.964567
38,2,0.952756
39,2,0.952756
40,2,0.952756
41,2,0.948819
42,2,0.96063
43,2,0.948819
44,2,0.937008
45,2,0.944882
46,2,0.933071
47,2,0.940945
48,2,0.952756
49,2,0.937008
50,2,0.937008
0,3,0.952756
1,3,0.933071
2,3,0.933071
3,3,0.952756
4,3,0.933071
5,3,0.940945
6,3,0.956693
7,3,0.952756
8,3,0.933071
9,3,0.948819
10,3,0.940945
11,3,0.948819
12,3,0.96063
13,3,0.944882
14,3,0.933071
15,3,0.956693
16,3,0.925197
17,3,0.933071
18,3,0.917323
19,3,0.96063
20,3,0.940945
21,3,0.944882
22,3,0.952756
23,3,0.96063
24,3,0.96063
25,3,0.952756
26,3,0.937008
27,3,0.956693
28,3,0.944882
29,3,0.956693
30,3,0.940945
31,3,0.952756
32,3,0.948819
33,3,0.952756
34,3,0.964567
35,3,0.952756
36,3,0.956693
37,3,0.948819
38,3,0.940945
39,3,0.940945
40,3,0.956693
41,3,0.952756
42,3,0.96063
43,3,0.948819
44,3,0.933071
45,3,0.944882
46,3,0.948819
47,3,0.940945
48,3,0.956693
49,3,0.956693
50,3,0.940945
0,4,0.948819
1,4,0.944882
2,4,0.948819
3,4,0.952756
4,4,0.940945
5,4,0.937008
6,4,0.968504
7,4,0.968504
8,4,0.96063
9,4,0.952756
10,4,0.956693
11,4,0.944882
12,4,0.940945
13,4,0.952756
14,4,0.948819
15,4,0.96063
16,4,0.952756
17,4,0.952756
18,4,0.952756
19,4,0.944882
20,4,0.940945
21,4,0.96063
22,4,0.944882
23,4,0.944882
24,4,0.956693
25,4,0.956693
26,4,0.956693
27,4,0.956693
28,4,0.964567
29,4,0.944882
30,4,0.952756
31,4,0.96063
32,4,0.964567
33,4,0.956693
34,4,0.956693
35,4,0.937008
36,4,0.968504
37,4,0.940945
38,4,0.940945
39,4,0.952756
40,4,0.940945
41,4,0.940945
42,4,0.944882
43,4,0.956693
44,4,0.964567
45,4,0.940945
46,4,0.948819
47,4,0.940945
48,4,0.929134
49,4,0.944882
50,4,0.940945
0,5,0.933071
1,5,0.956693
2,5,0.948819
3,5,0.937008
4,5,0.944882
5,5,0.940945
6,5,0.956693
7,5,0.937008
8,5,0.948819
9,5,0.940945
10,5,0.952756
11,5,0.929134
12,5,0.940945
13,5,0.940945
14,5,0.956693
15,5,0.96063
16,5,0.948819
17,5,0.944882
18,5,0.944882
19,5,0.952756
20,5,0.944882
21,5,0.944882
22,5,0.948819
23,5,0.964567
24,5,0.952756
25,5,0.933071
26,5,0.944882
