"x_blur","y_blur","fitness"
0,0,0.73622
1,0,0.854331
2,0,0.858268
3,0,0.870079
4,0,0.905512
5,0,0.893701
6,0,0.913386
7,0,0.925197
8,0,0.92126
9,0,0.905512
10,0,0.897638
11,0,0.92126
12,0,0.933071
13,0,0.929134
14,0,0.944882
15,0,0.925197
16,0,0.956693
17,0,0.96063
18,0,0.952756
19,0,0.929134
20,0,0.952756
21,0,0.940945
22,0,0.944882
23,0,0.937008
24,0,0.956693
25,0,0.956693
26,0,0.944882
27,0,0.933071
28,0,0.948819
29,0,0.972441
30,0,0.956693
31,0,0.956693
32,0,0.956693
33,0,0.940945
34,0,0.944882
35,0,0.956693
36,0,0.968504
37,0,0.944882
38,0,0.952756
39,0,0.972441
40,0,0.948819
41,0,0.956693
42,0,0.96063
43,0,0.964567
44,0,0.96063
45,0,0.956693
0,1,0.767717
1,1,0.854331
2,1,0.88189
3,1,0.88189
4,1,0.893701
5,1,0.905512
6,1,0.917323
7,1,0.929134
8,1,0.925197
9,1,0.96063
10,1,0.944882
11,1,0.944882
12,1,0.940945
13,1,0.948819
14,1,0.940945
15,1,0.948819
16,1,0.940945
17,1,0.944882
18,1,0.944882
19,1,0.96063
20,1,0.96063
21,1,0.968504
22,1,0.952756
23,1,0.980315
24,1,0.944882
25,1,0.956693
26,1,0.96063
27,1,0.952756
28,1,0.940945
29,1,0.968504
30,1,0.96063
31,1,0.956693
32,1,0.944882
33,1,0.944882
34,1,0.964567
35,1,0.937008
36,1,0.956693
37,1,0.964567
38,1,0.952756
39,1,0.964567
40,1,0.944882
41,1,0.96063
42,1,0.952756
43,1,0.972441
44,1,0.972441
45,1,0.952756
0,2,0.791339
1,2,0.84252
2,2,0.897638
3,2,0.92126
4,2,0.940945
5,2,0.937008
6,2,0.944882
7,2,0.948819
8,2,0.917323
9,2,0.956693
10,2,0.929134
11,2,0.937008
12,2,0.948819
13,2,0.948819
14,2,0.937008
15,2,0.956693
16,2,0.956693
17,2,0.956693
18,2,0.944882
19,2,0.940945
20,2,0.96063
21,2,0.956693
22,2,0.96063
23,2,0.96063
24,2,0.964567
25,2,0.944882
26,2,0.956693
27,2,0.976378
28,2,0.948819
29,2,0.972441
30,2,0.968504
31,2,0.944882
32,2,0.96063
33,2,0.948819
34,2,0.948819
35,2,0.968504
36,2,0.96063
37,2,0.968504
38,2,0.968504
39,2,0.964567
40,2,0.972441
41,2,0.972441
42,2,0.980315
43,2,0.968504
44,2,0.968504
45,2,0.956693
0,3,0.822835
1,3,0.862205
2,3,0.909449
3,3,0.893701
4,3,0.913386
5,3,0.944882
6,3,0.948819
7,3,0.925197
8,3,0.952756
9,3,0.944882
10,3,0.948819
11,3,0.956693
12,3,0.956693
13,3,0.952756
14,3,0.972441
15,3,0.96063
16,3,0.948819
17,3,0.952756
18,3,0.940945
19,3,0.96063
20,3,0.952756
21,3,0.96063
22,3,0.964567
23,3,0.976378
24,3,0.964567
25,3,0.956693
26,3,0.944882
27,3,0.964567
28,3,0.988189
29,3,0.96063
30,3,0.952756
31,3,0.96063
32,3,0.948819
33,3,0.980315
34,3,0.956693
35,3,0.964567
36,3,0.976378
37,3,0.956693
38,3,0.972441
39,3,0.964567
40,3,0.944882
41,3,0.96063
42,3,0.937008
43,3,0.972441
44,3,0.968504
45,3,0.964567
0,4,0.826772
1,4,0.854331
2,4,0.885827
3,4,0.909449
4,4,0.940945
5,4,0.92126
6,4,0.948819
7,4,0.964567
8,4,0.952756
9,4,0.964567
10,4,0.940945
11,4,0.968504
12,4,0.948819
13,4,0.948819
14,4,0.980315
15,4,0.956693
16,4,0.976378
17,4,0.944882
18,4,0.968504
19,4,0.96063
20,4,0.968504
21,4,0.956693
22,4,0.956693
23,4,0.96063
24,4,0.972441
25,4,0.948819
26,4,0.952756
27,4,0.952756
28,4,0.948819
29,4,0.96063
30,4,0.968504
31,4,0.968504
32,4,0.948819
33,4,0.96063
34,4,0.968504
35,4,0.96063
36,4,0.956693
37,4,0.96063
38,4,0.968504
39,4,0.968504
40,4,0.976378
41,4,0.952756
42,4,0.968504
43,4,0.968504
44,4,0.968504
45,4,0.972441
0,5,0.854331
1,5,0.917323
2,5,0.901575
3,5,0.917323
4,5,0.940945
5,5,0.964567
6,5,0.940945
7,5,0.944882
8,5,0.952756
9,5,0.948819
10,5,0.940945
11,5,0.944882
12,5,0.940945
13,5,0.948819
14,5,0.964567
15,5,0.956693
16,5,0.944882
17,5,0.964567
18,5,0.964567
19,5,0.96063
20,5,0.964567
21,5,0.964567
22,5,0.980315
23,5,0.976378
24,5,0.96063
25,5,0.972441
26,5,0.968504
27,5,0.976378
28,5,0.972441
29,5,0.968504
30,5,0.980315
31,5,0.988189
32,5,0.964567
33,5,0.976378
34,5,0.96063
35,5,0.972441
36,5,0.96063
37,5,0.944882
38,5,0.964567
39,5,0.968504
40,5,0.980315
41,5,0.980315
42,5,0.952756
43,5,0.964567
44,5,0.976378
45,5,0.956693
0,6,0.88189
1,6,0.929134
2,6,0.925197
3,6,0.944882
4,6,0.937008
5,6,0.937008
6,6,0.96063
7,6,0.956693
8,6,0.940945
9,6,0.956693
10,6,0.972441
11,6,0.964567
12,6,0.964567
13,6,0.968504
14,6,0.956693
15,6,0.976378
16,6,0.968504
17,6,0.972441
18,6,0.952756
19,6,0.96063
20,6,0.948819
21,6,0.968504
22,6,0.968504
23,6,0.956693
24,6,0.972441
25,6,0.952756
26,6,0.972441
27,6,0.956693
28,6,0.952756
29,6,0.984252
30,6,0.964567
31,6,0.948819
32,6,0.964567
33,6,0.980315
34,6,0.956693
35,6,0.976378
36,6,0.968504
37,6,0.968504
38,6,0.96063
39,6,0.956693
40,6,0.956693
41,6,0.968504
42,6,0.968504
43,6,0.968504
44,6,0.96063
45,6,0.968504
0,7,0.846457
1,7,0.893701
2,7,0.905512
3,7,0.956693
4,7,0.92126
5,7,0.952756
6,7,0.937008
7,7,0.948819
8,7,0.956693
9,7,0.948819
10,7,0.956693
11,7,0.96063
